Key,en,tr,ru
AthleticsSkillDescription,Increases dash range and experience collection radius,Atış menzilini ve deneyim toplama yarıçapını artırır,Увеличивает дальность рывка и радиуса сбора опыта
ReactiveBootsSkillDescription,Increases speed,Hızı artırır,Увеличивает скорость
HardingSkillDescription,Reduces dash recovery time,Çizgi kurtarma süresini azaltır,Сокращает время восстановления рывка
DurabilitySkillDescription,Increases health by 20% and regeneration by 1,Sağlığı %20 ve yenilenmeyi 1 artırır,"Увеличивает здоровье на 20%, и регенерацию на 1"
TacticalEfficiencySkillDescription,Decreases max health by 30 but significantly increases attack.,Maksimum canı 30 azaltır ancak saldırıyı önemli ölçüde artırır.,"Уменьшает максимальное здоровье на 30 единиц, но значительно увеличивает атаку"
Lair-1SkillDescription,Rotates around the player and blocks bullets.,Oyuncunun etrafında döner ve mermileri engeller.,Вращается вокруг игрока и блокирует пули
FirstAidSkillDescription,Restores 10% of damage taken,Alınan hasarın %10'unu geri yükler,Восстанавливает 10% полученного урона
ThunderSkillDescription,"Every second shot, lightning strikes a random enemy.",Her ikinci atışta yıldırım rastgele bir düşmana isabet ediyor.,"При каждом втором выстреле, молния бьёт по случайному врагу"
StunZapSkillDescription,Stuns the enemy when hit by a bullet,Mermi isabet ettiğinde düşmanı sersemletir,Оглушает врага при попадании пули
ChainZapSkillDescription,"Adds a chance for chain lightning when a bullet hits, which will hit 2 additional targets.",Mermi isabet ettiğinde zincirleme yıldırım oluşma şansını artırır ve bu da 2 ek hedefi vurur.,"Добавляет шанс на цепную молнию при попадании пули, которая поразит 2 дополнительные цели"
MagicArrowSkillDescription,Shoots a magic arrow at a random enemy every 2 seconds.,Her 2 saniyede bir rastgele bir düşmana sihirli ok atar.,Раз в 2 секунды стреляет в случайного врага магической стрелой
BoomerangSkillDescription,"Spins around the player, dealing damage to enemies.",Oyuncunun etrafında dönerek düşmanlara hasar verir.,"Вращается вокруг игрока, нанося врагам урон"
MultiShotSkillDescription,Fires an additional projectile.,Ek bir mermi ateşler.,Выстреливает дополнительным снарядом
AffectedAreaSkillDescription,Adds area damage when hitting an enemy,Bir düşmana vurulduğunda alan hasarı ekler,Добавляет урон по области при попадании по врагу
JumpSwirlSkillDescription,"At the end of the jump, it pushes back all enemies.",Atlayışın sonunda tüm düşmanları geri iter.,По окончанию прыжка отталкивает всех врагов
MercuryMimicrySkillDescription,Taking damage greatly increases your speed for 1.5 seconds.,"Hasar almak hızınızı 1,5 saniyeliğine büyük oranda artırır.",Получение урона значительно увеличивает скорость на 1.5 секунды
TirelessSkillDescription,Significantly reduces dash recovery time,Çizgi kurtarma süresini önemli ölçüde azaltır,Значительно сокращает время восстановления рывка
SnowBloodSkillDescription,"Reduces maximum health by 2 times, but increases damage enormously","Maksimum sağlığı 2 kat azaltır, ancak hasarı büyük ölçüde artırır","Уменьшает максимальное количество здоровья в 2 раза, но колоссально увеличивает урон"
RecoveryPainSkillDescription,"After receiving damage, increases regeneration by 1.5 sec.","Hasar aldıktan sonra yenilenmeyi 1,5 sn artırır.",После получения урона увеличивает регенерацию на 1.5 сек
ArtayaShieldSkillDescription,Restores shield when killing an enemy,Bir düşmanı öldürdüğünde kalkanı geri yükler,Восстанавливает щит при убийстве врага
OverloadSkillDescription,Adds another lightning bolt,Başka bir yıldırım daha ekler,Добавляет ещё одну молнию
ReducedResistanceSkillDescription,"Increases chain lightning chance, adds 1 more target and slows enemies hit.","Zincirleme yıldırım olasılığını artırır, 1 hedef daha ekler ve isabet alan düşmanları yavaşlatır.","Увеличивает шанс цепной молнии, добавляет ещё 1 цель и замедляет пораженных врагов"
InternalVoltageSkillDescription,"Adds a chance to summon an electrical zone around you when taking damage, stunning enemies.",Hasar aldığınızda etrafınızda bir elektrik bölgesi oluşturma ve düşmanları sersemletme şansı ekler.,"Добавляет шанс при получении урона вызвать вокруг себя электрическую зону, которая оглушает врагов"
StormBladeSkillDescription,The boomerang moves with a variable radius,Bumerang değişken bir yarıçapla hareket eder,Бумеранг движется с переменчивым радиусом
PhantomArrowsSkillDescription,"Magic arrows pass through enemies, dealing increased damage to everyone.",Büyülü oklar düşmanların içinden geçerek herkese daha fazla hasar verir.,"Магические стрелы проходят сквозь врагов, нанося всем повышенный урон"
BulletonsLastSkillDescription,The last bullet deals critical damage.,Son mermi kritik hasar verir.,Последний патрон наносит критический урон
FireZoneSkillDescription,Adds a chance to leave a fiery area when hitting an enemy.,Bir düşmana vurulduğunda ateşli alandan çıkma şansını artırır.,"Добавляет шанс, что останется огненная область при попадании по врагу"
TeleportationJumpSkillDescription,Teleports the player in the direction of the dash and greatly increases the dash range.,Oyuncuyu atılma yönüne ışınlar ve atılma menzilini büyük ölçüde artırır.,Телепортирует игрока в направлении рывка и значительно увеличивает дальности рывка
MercuryBlessSkillDescription,Significantly reduces damage but increases movement speed dramatically.,Hasarı önemli ölçüde azaltır ancak hareket hızını önemli ölçüde artırır.,"Значительно уменьшает урон, но колоссально увеличивает скорость передвижения"
NonStopSkillDescription,"After killing 5 enemies, the jump will leave a mine","5 düşmanı öldürdükten sonra, atlama bir mayın bırakacak","После убийства 5 врагов, прыжок оставит мину"
BerserkRageSkillDescription,Doubles regeneration speed when health is below 30%.,Canınız %30'un altına düştüğünde yenilenme hızını iki katına çıkarır.,"Удваивает скорость регенерации, если здоровье ниже 30%"
ArtayaWillSkillDescription,Triples your health but converts all health into shield.,Canınızı üç katına çıkarır ancak tüm canınızı kalkan olarak kullanır.,"Утраивает количество здоровья, но преображает все здоровье в щит"
AllOnLineSkillDescription,"Sets current health to 1 and removes shield, but increases damage enormously.","Mevcut canı 1'e ayarlar ve kalkanı kaldırır, ancak hasarı çok büyük oranda artırır.","Устанавливает текущее здоровье на 1 и убирает щит, но непомерно увеличивает урон"
ThunderStormSkillDescription,Lightning has a small chance to kill an enemy instantly.,"Şimşek, düşmanı anında öldürme şansına sahiptir.",Молния с небольшим шансом убивает врага сразу
StreamingEnergySkillDescription,"Adds a chance that after killing an enemy, a zone will appear that stuns and slows enemies.",Bir düşmanı öldürdükten sonra düşmanları sersemleten ve yavaşlatan bir bölgenin ortaya çıkma şansını artırır.,"Добавляет шанс, что после убийства врага появится зона, которая оглушает и замедляет врагов"
SummonSkillDescription,Adds a hamster helper that will shoot at a random enemy.,Rastgele bir düşmana ateş edecek bir hamster yardımcısı ekler.,"Добавляет помощника хомяка, который будет стрелять по случайному врагу"
HellCatsSkillDescription,Fire creatures emerge from the fire zone and attack the nearest enemy.,Ateş bölgesinden ateş yaratıkları çıkar ve en yakın düşmana saldırır.,"Из огненной зоны появляются огненные существа, которые атакуют ближайшего врага"
