Key,en,tr,ru
AthleticsSkill,Athletics,Atletizm,Легкая атлетика
ReactiveBootsSkill,Reactive Boots,Reaktif Botlar,Реактивные ботинки
HardingSkill,Harding,Sertleştirme,Закалка
DurabilitySkill,Durability,Dayanıklılık,Выносливость
TacticalEfficiencySkill,Tactical Efficiency,Taktiksel Verimlilik,Готовность к бою
Lair-1Skill,Lair-1,İn-1,Берлога-1
FirstAidSkill,First Aid,İlk yardım,Первая помощь
ThunderSkill,Thunder,Gök gürültüsü,Гром
StunZapSkill,Stun Zap,Gerilim,Напряжение
ChainZapSkill,Chain Zap,Uzun devre,Длинное замыкание
MagicArrowSkill,Magic Arrow,Sihirli Ok,Магическая стрела
BoomerangSkill,Boomerang,Bumerang,Бумеранг
MultiShotSkill,MultiShot,Çift Atış,Двойной выстрел
AffectedAreaSkill,Affected Area,Etkilenen Bölge,Область поражения
JumpSwirlSkill,Jump Swirl,Dodges Kasırgası,Вихрь уклонений
MercuryMimicrySkill,Mercury Mimicry,Cıva Taklidi,Подражание Меркурию
TirelessSkill,Tireless,Yorulmama,Неутомимость
SnowBloodSkill,Snow Blood,Karda kan,Кровь на снегу
RecoveryPainSkill,Recovery Pain,İyileşme Ağrısı,Боль при восстановлении
ArtayaShieldSkill,Artaya Shield,Artaya Kalkanı,Шит Артайа
OverloadSkill,Overload,Aşırı yük,Перегрузка
ReducedResistanceSkill,Reduced Resistance,Azaltılmış direnç,Пониженное сопротивление
InternalVoltageSkill,Internal Voltage,İç Voltaj,Внутреннее напряжение
StormBladeSkill,Storm Blade,Fırtına Bıçağı,Лезвие Бури
PhantomArrowsSkill,Phantom Arrows,Hayalet Oklar,Фантомные стрелы
BulletonsLastSkill,Bulletons Last,Son Patron,Последний из Патронан
FireZoneSkill,Fire Zone,Yangın Bölgesi,Адское пламя
TeleportationJumpSkill,Teleportation Jump,Işınlanma Atlayışı,Телепортационный прыжок
MercuryBlessSkill,Mercury Bless,Merkür'ün Bereketi,Благословение Меркурия
NonStopSkill,Non Stop,Durmadan,Нон-стоп
BerserkRageSkill,Berserk Rage,Çılgın Öfke,Ярость берсерка
ArtayaWillSkill,Artaya Will,Artaya'nın Vasiyeti,Воля Артайа
AllOnLineSkill,All On Line,Hepsi Çevrimiçi,Все на кону
ThunderStormSkill,Thunder Storm,Fırtına,Грозовой шторм
StreamingEnergySkill,Streaming Energy,Akış Enerjisi,Потоковая энергия
SummonSkill,Summon,Çağırmak,Хомяк
HellCatsSkill,Hell Cats,Cehennem Kedileri,Огнетята
